City,State,District
Bhatkal,Karnataka,Uttara Kannada
Bhatni Bazar,Uttar Pradesh,Deoria
Bhatpar Rani,Uttar Pradesh,Deoria
Bhatpara,West Bengal,North Twentyfour Parganas
Bhaurasa,Madhya Pradesh,Dewas
Bhavani,Tamil Nadu,Erode
Bhavanisagar,Tamil Nadu,Erode
Bhavnagar,Gujarat,Bhavnagar
Bhavra,Madhya Pradesh,Jhabua
Bhawan Bahadur Nagar,Uttar Pradesh,Bulandshahr
Bhawani Mandi,Rajasthan,Jhalawar
Bhawanigarh,Punjab,Sangrur
Bhawanipatna,Orissa,Kalahandi
Bhayavadar,Gujarat,Rajkot
Bhedaghat,Madhya Pradesh,Jabalpur
Bheemavaram,Andhra Pradesh,West Godavari
Bheemunipatnam,Andhra Pradesh,Visakhapatnam
Bhikangaon,Madhya Pradesh,West Nimar
Bhikhi,Punjab,Mansa
Bhikhiwind,Punjab,Amritsar
Bhilai Charoda,Chhattisgarh,Durg
Bhilai Nagar,Chhattisgarh,Durg
Bhilakhedi,Madhya Pradesh,Hoshangabad
Bhilwara,Rajasthan,Bhilwara
Bhimarayanagudi,Karnataka,Gulbarga
Bhimtal,Uttaranchal,Nainital
Bhind,Madhya Pradesh,Bhind
Bhinder,Rajasthan,Udaipur
Bhinga,Uttar Pradesh,Shrawasti
Bhingar,Maharashtra,Ahmadnagar
Bhinmal,Rajasthan,Jalor
Bhisiana,Punjab,Bathinda
Bhitarwar,Madhya Pradesh,Gwalior
Bhiwadi,Rajasthan,Alwar
Bhiwandi,Maharashtra,Thane
Bhiwani,Haryana,Bhiwani
Bhogadi,Karnataka,Mysore
Bhogaon,Uttar Pradesh,Mainpuri
Bhogpur,Punjab,Jalandhar
Bhojpur Dharampur,Uttar Pradesh,Moradabad
Bhojudih,Jharkhand,Bokaro
Bhokardan,Maharashtra,Jalna
Bhokarhedi,Uttar Pradesh,Muzaffarnagar
Bholar Dabri,West Bengal,Jalpaiguri
Bhongir,Andhra Pradesh,Nalgonda
Bhopal,Madhya Pradesh,Bhopal
Bhor,Maharashtra,Pune
Bhota,Himachal Pradesh,Hamirpur
Bhowali,Uttaranchal,Nainital
Bhowrah,Jharkhand,Dhanbad
Bhuban,Orissa,Dhenkanal
Bhubaneswar,Orissa,Khordha
Bhucho Mandi,Punjab,Bathinda
Bhuj,Gujarat,Kachchh
Bhulath,Punjab,Kapurthala
Bhulepur,Uttar Pradesh,Ambedaker Nagar
Bhuli,Jharkhand,Dhanbad
Bhum,Maharashtra,Osmanabad
Bhuntar,Himachal Pradesh,Kullu
Bhusawal,Maharashtra,Jalgaon
Bhusawar,Rajasthan,Bharatpur
Bhuvanagiri,Tamil Nadu,Cuddalore
Biaora,Madhya Pradesh,Rajgarh
Biate,Mizoram,Serchhip
Bicholim,Goa,North Goa
Bid,Maharashtra,Bid
Bidar,Karnataka,Bidar
Bidasar,Rajasthan,Churu
Bidhan Nagar,West Bengal,North Twentyfour Parganas
Bidhuna,Uttar Pradesh,Auraiya
Bighapur,Uttar Pradesh,Unnao
Bihar,Bihar,Nalanda
Bihpuria,Assam,Lakhimpur
Bijapur,Karnataka,Bijapur
Bijawar,Madhya Pradesh,Chhatarpur
Bijbehara,Jammu & Kashmir,Anantnag
Bijeypur,Madhya Pradesh,Sheopur
Bijni,Assam,Bongaigaon
Bijnor,Uttar Pradesh,Bijnor
Bijpur,Uttar Pradesh,Sonbhadra
Bijuri,Madhya Pradesh,Shahdol
Bikaner,Rajasthan,Bikaner
Bikapur,Uttar Pradesh,Faizabad
Bikihakola,West Bengal,Haora
Bikketti,Tamil Nadu,The Nilgiris
Bikramganj,Bihar,Rohtas
Bilandapur,West Bengal,South Twentyfour Parganas
Bilara,Rajasthan,Jodhpur
Bilari,Uttar Pradesh,Moradabad
Bilariaganj,Uttar Pradesh,Azamgarh
Bilasipara,Assam,Dhubri
Bilaspur,Haryana,Yamunanagar
Bilaspur,Uttar Pradesh,Rampur
Bilaspur,Chhattisgarh,Bilaspur
Bilaspur,Himachal Pradesh,Bilaspur
Bilaspur,Uttar Pradesh,Gautam Buddha Nagar
Bilaua,Madhya Pradesh,Gwalior
Bilgi,Karnataka,Bagalkot
Bilgram,Uttar Pradesh,Hardoi
Bilha,Chhattisgarh,Bilaspur
Bilhaur,Uttar Pradesh,Kanpur Nagar
Bilimora,Gujarat,Navsari
Billawar,Jammu & Kashmir,Kathua
Biloli,Maharashtra,Nanded
Bilpahari,West Bengal,Barddhaman
Bilpura,Madhya Pradesh,Jabalpur
Bilram,Uttar Pradesh,Etah
Bilsanda,Uttar Pradesh,Pilibhit
Bilsi,Uttar Pradesh,Budaun
Bina Etawa,Madhya Pradesh,Sagar
Bina Rly Colony,Madhya Pradesh,Sagar
Bindki,Uttar Pradesh,Fatehpur
Binika,Orissa,Sonapur
Bipra Noapara,West Bengal,Haora
Biramitrapur,Orissa,Sundargarh
Birgaon,Chhattisgarh,Raipur
Birlapur,West Bengal,South Twentyfour Parganas
Birnagar,West Bengal,Nadia
Birpur,Bihar,Supaul
Birsinghpur,Madhya Pradesh,Satna
Birur,Karnataka,Chikmagalur
Birwadi,Maharashtra,Raigarh
Bisalpur,Uttar Pradesh,Pilibhit
Bisanda Buzurg,Uttar Pradesh,Banda
Bisauli,Uttar Pradesh,Budaun
Bishama Katek,Orissa,Rayagada
Bisharatganj,Uttar Pradesh,Bareilly
Bishna,Jammu & Kashmir,Jammu
Bishnupur,Manipur,Bishnupur
Bishnupur,West Bengal,Bankura
Bishnupur,West Bengal,South Twentyfour Parganas
Bisokhar,Uttar Pradesh,Ghaziabad
Bissau,Rajasthan,Jhunjhunun
Biswan,Uttar Pradesh,Sitapur
Biswanath Chariali,Assam,Sonitpur
Bithoor,Uttar Pradesh,Kanpur Nagar
Bobbili,Andhra Pradesh,Vizianagaram
Boda,Madhya Pradesh,Rajgarh
Bodeli,Gujarat,Vadodara
Bodh Gaya,Bihar,Gaya
Bodhan,Andhra Pradesh,Nizamabad
Bodinayakkanur,Tamil Nadu,Theni
Bodri,Chhattisgarh,Bilaspur
Bohari,Assam,Barpeta
Boisar,Maharashtra,Thane
Bokajan,Assam,Karbi Anglong
Bokakhat,Assam,Golaghat
Bokaro,Jharkhand,Bokaro
Bokaro Steel City,Jharkhand,Bokaro
Bollaram,Andhra Pradesh,Medak
Bolpur,West Bengal,Birbhum
Bombooflat,Andaman & Nicobar Islands *,Andamans
Bomdila,Arunachal Pradesh,West Kameng
Bommanahalli,Karnataka,Bangalore
Bommasandra,Karnataka,Bangalore
Bongaigaon,Assam,Bongaigaon
"Bongaigaon, Refinery & Petro-chemical Ltd. Township",Assam,Bongaigaon
Boothapandi,Tamil Nadu,Kanniyakumari
Boothipuram,Tamil Nadu,Theni
Bopal,Gujarat,Ahmadabad
Borgolai Grant No.11,Assam,Tinsukia
Boriavi,Gujarat,Anand
Borsad,Gujarat,Anand
Botad,Gujarat,Bhavnagar
Bowali,West Bengal,South Twentyfour Parganas
Brahmakulam,Kerala,Thrissur
Brahmana Periya-Agraharam,Tamil Nadu,Erode
Brahmapur,Orissa,Ganjam
Brahmapuri,Maharashtra,Chandrapur
Brajarajnagar,Orissa,Jharsuguda
Budaun,Uttar Pradesh,Budaun
Budge Budge,West Bengal,South Twentyfour Parganas
Budha Theh,Punjab,Amritsar
Budhana,Uttar Pradesh,Muzaffarnagar
Budhgaon,Maharashtra,Sangli
Budhlada,Punjab,Mansa
Budhni,Madhya Pradesh,Sehore
Budhpura,Rajasthan,Bundi
Bugganipalle,Andhra Pradesh,Kurnool
Bugrasi,Uttar Pradesh,Bulandshahr
Buguda,Orissa,Ganjam
Bulandshahr,Uttar Pradesh,Bulandshahr
Buldana,Maharashtra,Buldana
Bundi,Rajasthan,Bundi
Bundu,Jharkhand,Ranchi
Burari,Delhi *,North
Burhanpur,Madhya Pradesh,East Nimar
Burhar,Madhya Pradesh,Shahdol
Buria,Haryana,Yamunanagar
Burla,Orissa,Sambalpur
Buxar,Bihar,Buxar
Buxwaha,Madhya Pradesh,Chhatarpur
Byadgi,Karnataka,Haveri
Byasanagar,Orissa,Jajapur
Byatarayanapura,Karnataka,Bangalore
Calangute,Goa,North Goa
Calapor,Goa,North Goa
Canacona,Goa,South Goa
Candolim,Goa,North Goa
Carapur,Goa,North Goa
Cart Road,West Bengal,Darjiling
Chabua,Assam,Dibrugarh
Chachanda,West Bengal,Murshidabad
Chachaura-Binaganj,Madhya Pradesh,Guna
Chaibasa,Jharkhand,Pashchimi Singhbhum
Chail,Uttar Pradesh,Kaushambi
Chak Bankola,West Bengal,Barddhaman
Chak Bansberia,West Bengal,Hugli
Chak Enayetnagar,West Bengal,South Twentyfour Parganas
Chak Imam Ali,Uttar Pradesh,Allahabad
Chak Kashipur,West Bengal,South Twentyfour Parganas
Chakan,Maharashtra,Pune
Chakapara,West Bengal,Haora
Chakdaha,West Bengal,Nadia
Chakeri,Uttar Pradesh,Kanpur Nagar
Chakghat,Madhya Pradesh,Rewa
Chakia,Bihar,Purba Champaran
Chakia,Uttar Pradesh,Chandauli
Chaklasi,Gujarat,Kheda
Chakradharpur,Jharkhand,Pashchimi Singhbhum
Chakrata,Uttaranchal,Dehradun
Chaksu,Rajasthan,Jaipur
Chakulia,Jharkhand,Purbi Singhbhum
Chala,Kerala,Kannur
Chala,Gujarat,Valsad
Chalakudy,Kerala,Thrissur
Chalala,Gujarat,Amreli
Chalisgaon,Maharashtra,Jalgaon
Challakere,Karnataka,Chitradurga
Chalthan,Gujarat,Surat
Chamba,Himachal Pradesh,Chamba
Chamba,Uttaranchal,Tehri Garhwal
Chamoli Gopeshwar,Uttaranchal,Chamoli
Champa,Chhattisgarh,Janjgir-Champa
Champawat,Uttaranchal,Champawat
Champdani,West Bengal,Hugli
Champhai,Mizoram,Champhai
Champua,Orissa,Kendujhar
Chamrail,West Bengal,Haora
Chamrajnagar,Karnataka,Chamarajanagar
Chanasma,Gujarat,Patan
Chandameta-Butaria,Madhya Pradesh,Chhindwara
Chandannagar,West Bengal,Hugli
Chandapur,Orissa,Nayagarh
Chandauli,Uttar Pradesh,Chandauli
Chandaur,Jharkhand,Dhanbad
Chandausi,Uttar Pradesh,Moradabad
Chanderi,Madhya Pradesh,Guna
Chandia,Madhya Pradesh,Umaria
Chandigarh,Chandigarh *,Chandigarh
Chandil,Jharkhand,Pashchimi Singhbhum
Chandili,Orissa,Rayagada
Chandkheda,Gujarat,Gandhinagar
Chandla,Madhya Pradesh,Chhatarpur
Chandlodiya,Gujarat,Ahmadabad
Chandpur,Uttar Pradesh,Bijnor
Chandpur,West Bengal,North Twentyfour Parganas
Chandrakona,West Bengal,Medinipur
Chandrapur,Maharashtra,Chandrapur
Chandrapur Bagicha,Assam,Kamrup
Chandrapura,Jharkhand,Bokaro
Chandur,Maharashtra,Amravati
Chandur,Andhra Pradesh,Nalgonda
Chandur,Maharashtra,Chandrapur
Chandurbazar,Maharashtra,Amravati
Changanassery,Kerala,Kottayam
Changlang,Arunachal Pradesh,Changlang
Channagiri,Karnataka,Davanagere
Channapatna,Karnataka,Bangalore Rural
Channarayapattana,Karnataka,Hassan
Chanod,Gujarat,Valsad
Chanpatia,Bihar,Pashchim Champaran
Chapar,Assam,Dhubri
Chapari,West Bengal,Puruliya
Chapra,Bihar,Saran
Chapui,West Bengal,Barddhaman
Char Brahmanagar,West Bengal,Nadia
Char Maijdia,West Bengal,Nadia
Charari Sharief,Jammu & Kashmir,Badgam
Charibatia,Orissa,Cuttack
Charka,West Bengal,Murshidabad
Charkhari,Uttar Pradesh,Mahoba
Charkhi Dadri,Haryana,Bhiwani
Charthaval,Uttar Pradesh,Muzaffarnagar
Chas,Jharkhand,Bokaro
Chata Kalikapur,West Bengal,South Twentyfour Parganas
Chatakonda,Andhra Pradesh,Khammam
Chatra,Jharkhand,Chatra
Chaumuhan,Uttar Pradesh,Mathura
Chaupal,Himachal Pradesh,Shimla
Chaurai Khas,Madhya Pradesh,Chhindwara
Chavakkad,Kerala,Thrissur
Chechakhata,West Bengal,Jalpaiguri
Chechat,Rajasthan,Kota
Cheeka,Haryana,Kaithal
Cheema,Punjab,Sangrur
Chekonidhara,Assam,Jorhat
Chelad,West Bengal,Barddhaman
Chelora,Kerala,Kannur
Chemmumiahpet,Andhra Pradesh,Cuddapah
Chenani,Jammu & Kashmir,Udhampur
Chendamangalam,Kerala,Ernakulam
Chengalpattu,Tamil Nadu,Kancheepuram
Chengam,Tamil Nadu,Tiruvanamalai
Chengamanad,Kerala,Ernakulam
Chengannur,Kerala,Alappuzha
Chennai,Tamil Nadu,Chennai
Chennasamudram,Tamil Nadu,Erode
Chennimalai,Tamil Nadu,Erode
Cheranallur,Kerala,Ernakulam
Cheranmadevi,Tamil Nadu,Tirunelveli
Cherapunjee,Meghalaya,East Khasi Hills
Cherthala,Kerala,Alappuzha
Cheruthazham,Kerala,Kannur
Cheruvannur,Kerala,Kozhikode
Chetpet,Tamil Nadu,Tiruvanamalai
Chettiarpatti,Tamil Nadu,Virudhunagar
Chettipalayam,Tamil Nadu,Coimbatore
Chettipalayam,Tamil Nadu,Coimbatore
Chettithangal,Tamil Nadu,Vellore
Chevvoor,Kerala,Thrissur
Chhabra,Rajasthan,Baran
Chhachhrauli,Haryana,Yamunanagar
Chhapar,Rajasthan,Churu
Chhaprabhatha,Gujarat,Surat
Chhaprauli,Uttar Pradesh,Baghpat
Chharchha,Chhattisgarh,Koriya
Chharra Rafatpur,Uttar Pradesh,Aligarh
Chhata,Uttar Pradesh,Mathura
Chhatari,Uttar Pradesh,Bulandshahr
Chhatarpur,Madhya Pradesh,Chhatarpur
Chhatatanr,Jharkhand,Dhanbad
Chhatral INA,Gujarat,Gandhinagar
Chhatrapur,Orissa,Ganjam
Chhawla,Delhi *,South West
Chhaya,Gujarat,Porbandar
Chhibramau,Uttar Pradesh,Kannauj
Chhindwara,Madhya Pradesh,Chhindwara
Chhipabarod,Rajasthan,Baran
Chhora,West Bengal,Barddhaman
Chhota Chhindwara (Gotegaon),Madhya Pradesh,Narsimhapur
Chhota Gobindpur,Jharkhand,Purbi Singhbhum
Chhota Udaipur,Gujarat,Vadodara
Chhotaputki,Jharkhand,Dhanbad
Chhoti Sadri,Rajasthan,Chittaurgarh
Chhuikhadan,Chhattisgarh,Rajnandgaon
Chhutmalpur,Uttar Pradesh,Saharanpur
Chicalim,Goa,South Goa
Chichli,Madhya Pradesh,Narsimhapur
Chicholi,Maharashtra,Nagpur
Chidambaram,Tamil Nadu,Cuddalore
Chik Ballapur,Karnataka,Kolar
Chikhaldara,Maharashtra,Amravati
Chikhli,Maharashtra,Buldana
Chikhli,Gujarat,Navsari
Chikiti,Orissa,Ganjam
Chikmagalur,Karnataka,Chikmagalur
Chiknayakanhalli,Karnataka,Tumkur
Chikodi,Karnataka,Belgaum
Chikrand,West Bengal,Hugli
Chilakaluripet,Andhra Pradesh,Guntur
Chilkana Sultanpur,Uttar Pradesh,Saharanpur
Chilla Saroda Bangar,Delhi *,East
Chiloda(Naroda),Gujarat,Gandhinagar
Chimbel,Goa,North Goa
Chinchani,Maharashtra,Thane
Chinchinim,Goa,South Goa
Chincholi,Karnataka,Gulbarga
Chinna Anuppanadi,Tamil Nadu,Madurai
Chinnachowk,Andhra Pradesh,Cuddapah
Chinnakkampalayam,Tamil Nadu,Erode
Chinnalapatti,Tamil Nadu,Dindigul
Chinnamanur,Tamil Nadu,Theni
Chinnampalayam,Tamil Nadu,Coimbatore
Chinnasalem,Tamil Nadu,Viluppuram
Chinnasekkadu,Tamil Nadu,Thiruvallur
Chinnavedampatti,Tamil Nadu,Coimbatore
Chintalavalasa,Andhra Pradesh,Vizianagaram
Chintamani,Karnataka,Kolar
Chiplun,Maharashtra,Ratnagiri
Chirakkal,Kerala,Kannur
Chirala,Andhra Pradesh,Prakasam
Chirawa,Rajasthan,Jhunjhunun
Chirgaon,Uttar Pradesh,Jhansi
Chiria,Jharkhand,Pashchimi Singhbhum
Chirkunda,Jharkhand,Dhanbad
Chirmiri,Chhattisgarh,Koriya
Chitapur,Karnataka,Gulbarga
Chitbara Gaon,Uttar Pradesh,Ballia
Chitgoppa,Karnataka,Bidar
Chithode,Tamil Nadu,Erode
Chitlapakkam,Tamil Nadu,Kancheepuram
Chitradurga,Karnataka,Chitradurga
Chitrakoot,Madhya Pradesh,Satna
Chitrakoot Dham (Karwi),Uttar Pradesh,Chitrakoot
Chittaranjan,West Bengal,Barddhaman
Chittaurgarh,Rajasthan,Chittaurgarh
Chittoor,Andhra Pradesh,Chittoor
Chittur-Thathamangalam,Kerala,Palakkad
Chockli,Kerala,Kannur
Chohal,Punjab,Hoshiarpur
Cholapuram,Tamil Nadu,Thanjavur
Chomu,Rajasthan,Jaipur
Choornikkara,Kerala,Ernakulam
Chopan,Uttar Pradesh,Sonbhadra
Chopda,Maharashtra,Jalgaon
Chorvad,Gujarat,Junagadh
Choto Haibor,Assam,Nagaon
Choubepur Kalan,Uttar Pradesh,Kanpur Nagar
Choudwar,Orissa,Cuttack
Choutuppal,Andhra Pradesh,Nalgonda
Chowwara,Kerala,Ernakulam
Chuari Khas,Himachal Pradesh,Chamba
Chumukedima,Nagaland,Dimapur
Chunar,Uttar Pradesh,Mirzapur
Chunchupalle,Andhra Pradesh,Khammam
Churhat,Madhya Pradesh,Sidhi
Churi,Jharkhand,Ranchi
Churk Ghurma,Uttar Pradesh,Sonbhadra
Churu,Rajasthan,Churu
Clement Town,Uttaranchal,Dehradun
Coimbatore,Tamil Nadu,Coimbatore
Colgong,Bihar,Bhagalpur
Colonelganj,Uttar Pradesh,Gonda
Colvale,Goa,North Goa
Contai,West Bengal,Medinipur
Coonoor,Tamil Nadu,The Nilgiris
Cooper's Camp,West Bengal,Nadia
Courtalam,Tamil Nadu,Tirunelveli
Cuddalore,Tamil Nadu,Cuddalore
Cuddapah,Andhra Pradesh,Cuddapah
Cuncolim,Goa,South Goa
Curchorem Cacora,Goa,South Goa
Curti,Goa,North Goa
Cuttack,Orissa,Cuttack
Dabhoi,Gujarat,Vadodara
Daboh,Madhya Pradesh,Bhind
Dabra,Madhya Pradesh,Gwalior
Dadhapatna,Orissa,Cuttack
Dadri,Uttar Pradesh,Gautam Buddha Nagar
Dafahat,West Bengal,Murshidabad
Dagshai,Himachal Pradesh,Solan
Dahanu,Maharashtra,Thane
Dahegam,Gujarat,Gandhinagar
Dainhat,West Bengal,Barddhaman
Daitari,Orissa,Kendujhar
Dakor,Gujarat,Kheda
Dakshin Baguan,West Bengal,Medinipur
Dakshin Jhapardaha,West Bengal,Haora
Dakshin Rajyadharpur,West Bengal,Hugli
Dalavaipatti,Tamil Nadu,Salem
Dalhousie,Himachal Pradesh,Chamba
Dalhousie,Himachal Pradesh,Chamba
Dalkhola,West Bengal,Uttar Dinajpur
Dalli-Rajhara,Chhattisgarh,Durg
Dallo Pura,Delhi *,East
Dalmau,Uttar Pradesh,Rae Bareli
Dalsinghsarai,Bihar,Samastipur
Daltonganj,Jharkhand,Palamu
Dalurband,West Bengal,Barddhaman
Daman,Daman & Diu *,Daman
Damanjodi,Orissa,Koraput
Damnagar,Gujarat,Amreli
Damoh,Madhya Pradesh,Damoh
Damua,Madhya Pradesh,Chhindwara
Dandeli,Karnataka,Uttara Kannada
Danguwapasi,Jharkhand,Pashchimi Singhbhum
Dankaur,Uttar Pradesh,Gautam Buddha Nagar
Dantewada,Chhattisgarh,Dantewada
Dapoli Camp,Maharashtra,Ratnagiri
Daporijo,Arunachal Pradesh,Upper Subansiri
Darappur,West Bengal,Nadia
Darbhanga,Bihar,Darbhanga
Dargajogihalli,Karnataka,Bangalore Rural
Dari,Jharkhand,Hazaribag
Dariba,Rajasthan,Rajsamand
Dariyabad,Uttar Pradesh,Barabanki
Darjiling,West Bengal,Darjiling
Darlawn,Mizoram,Aizawl
Daroha,Punjab,Ludhiana
Darwha,Maharashtra,Yavatmal
Daryapur Banosa,Maharashtra,Amravati
Dasarahalli,Karnataka,Bangalore
Dasna,Uttar Pradesh,Ghaziabad
Dasnapur,Andhra Pradesh,Adilabad
Dasua,Punjab,Hoshiarpur
Dataganj,Uttar Pradesh,Budaun
Datia,Madhya Pradesh,Datia
Dattapur Dhamangaon,Maharashtra,Amravati
Daudnagar,Bihar,Aurangabad
Daulatpur,Punjab,Gurdaspur
Daulatpur,Himachal Pradesh,Una
Daund,Maharashtra,Pune
Daurala,Uttar Pradesh,Meerut
Dausa,Rajasthan,Dausa
Davanagere,Karnataka,Davanagere
Davlameti,Maharashtra,Nagpur
Davorlim,Goa,South Goa
Dayal Pur,Delhi *,North East
Dayalbagh,Uttar Pradesh,Agra
Debagarh,Orissa,Debagarh
Debipur,West Bengal,Barddhaman
Deeg,Rajasthan,Bharatpur
Deesa,Gujarat,Banas Kantha
Deglur,Maharashtra,Nanded
Dehradun,Uttaranchal,Dehradun
Dehradun,Uttaranchal,Dehradun
Dehri,Bihar,Rohtas
Dehu,Maharashtra,Pune
Dehu Road,Maharashtra,Pune
Delhi Cantt.,Delhi *,South West
Delhi Municipal Corporation (U),Delhi *,In all 9 dsitricts
Denkanikottai,Tamil Nadu,Dharmapuri
Deoband,Uttar Pradesh,Saharanpur
Deodara,Madhya Pradesh,Mandla
Deoghar,Jharkhand,Deoghar
Deolali,Maharashtra,Nashik
Deolali Pravara,Maharashtra,Ahmadnagar
Deoli,Maharashtra,Wardha
Deoli,Delhi *,South
Deoli,Rajasthan,Tonk
Deomali,Arunachal Pradesh,Tirap
Deoranian,Uttar Pradesh,Bareilly
Deori,Chhattisgarh,Bilaspur
Deori,Madhya Pradesh,Sagar
Deori,Madhya Pradesh,Shahdol
Deoria,Uttar Pradesh,Deoria
Deorikalan,Jharkhand,Palamu
Depalpur,Madhya Pradesh,Indore
Dera Baba Nanak,Punjab,Gurdaspur
Dera Bassi,Punjab,Patiala
Dera Gopipur,Himachal Pradesh,Kangra
Deracolliery Township,Orissa,Anugul
Dergaon,Assam,Golaghat
Desaiganj,Maharashtra,Gadchiroli
Deshnoke,Rajasthan,Bikaner
Desur,Tamil Nadu,Tiruvanamalai
Deulgaon Raja,Maharashtra,Buldana
Deuli,West Bengal,Medinipur
Dev Prayag,Uttaranchal,Tehri Garhwal & Garhwal
Devadanapatti,Tamil Nadu,Theni
Devadurga,Karnataka,Raichur
Devakottai,Tamil Nadu,Sivaganga
Devanangurichi,Tamil Nadu,Namakkal
Devanhalli,Karnataka,Bangalore Rural
Devarakonda,Andhra Pradesh,Nalgonda
Devarshola,Tamil Nadu,The Nilgiris
Devendranagar,Madhya Pradesh,Panna
Devgadbaria,Gujarat,Dohad
Devgarh,Rajasthan,Rajsamand
Devhara,Madhya Pradesh,Shahdol
Devsar,Gujarat,Navsari
Dewa,Uttar Pradesh,Barabanki
Dewas,Madhya Pradesh,Dewas
Dewhadi,Maharashtra,Bhandara
Dhaka,Bihar,Purba Champaran
Dhakuria,West Bengal,North Twentyfour Parganas
Dhalavoipuram,Tamil Nadu,Virudhunagar
Dhali,Tamil Nadu,Coimbatore
Dhaliyur,Tamil Nadu,Coimbatore
Dhaluwala,Uttaranchal,Tehri Garhwal
Dhamanagar,Orissa,Bhadrak
Dhamdha,Chhattisgarh,Durg
Dhamnod,Madhya Pradesh,Dhar
Dhampur,Uttar Pradesh,Bijnor
Dhamtari,Chhattisgarh,Dhamtari
Dhana,Madhya Pradesh,Sagar
Dhanauha,Uttar Pradesh,Jaunpur
Dhanaula,Punjab,Sangrur
Dhanauli,Uttar Pradesh,Agra
Dhanaura,Uttar Pradesh,Jyotiba Phule Nagar
Dhanbad,Jharkhand,Dhanbad
Dhandadihi,West Bengal,Barddhaman
Dhandera,Uttaranchal,Hardwar
Dhandhuka,Gujarat,Ahmadabad
Dhanera,Gujarat,Banas Kantha
Dhanpuri,Madhya Pradesh,Shahdol
Dhanwar,Jharkhand,Giridih
Dhanyakuria,West Bengal,North Twentyfour Parganas
Dhar,Madhya Pradesh,Dhar
Dharamjaigarh,Chhattisgarh,Raigarh
Dharamkot,Punjab,Moga
Dharampur,Gujarat,Valsad
Dharampuri,Madhya Pradesh,Dhar
Dharangaon,Maharashtra,Jalgaon
Dharapadavedu,Tamil Nadu,Vellore
Dharapur,Assam,Kamrup
Dharapuram,Tamil Nadu,Erode
Dharasuram,Tamil Nadu,Thanjavur
Dharchula,Uttaranchal,Pithoragarh
Dharchula Dehat,Uttaranchal,Pithoragarh
Dhariawad,Rajasthan,Udaipur
Dhariwal,Punjab,Gurdaspur
Dharmabad,Maharashtra,Nanded
Dharmadom,Kerala,Kannur
Dharmanagar,Tripura,North Tripura
Dharmapur,West Bengal,Hugli
Dharmapuri,Tamil Nadu,Dharmapuri
Dharmavaram,Andhra Pradesh,Anantapur
Dharmsala,Himachal Pradesh,Kangra
Dharoti Khurd,Uttar Pradesh,Ghaziabad
Dharuhera,Haryana,Rewari
Dharur,Maharashtra,Bid
Dhatau,Maharashtra,Raigarh
Dhatrigram,West Bengal,Barddhaman
Dhaulpur,Rajasthan,Dhaulpur
Dhaunsar,Jharkhand,Dhanbad
Dhaura Tanda,Uttar Pradesh,Bareilly
Dhaurehra,Uttar Pradesh,Kheri
Dhekiajuli,Assam,Sonitpur
Dhemaji,Assam,Dhemaji
Dhenkanal,Orissa,Dhenkanal
Dhilwan,Punjab,Kapurthala
Dhing,Assam,Nagaon
Dhola,Gujarat,Bhavnagar
Dholka,Gujarat,Ahmadabad
Dhoraji,Gujarat,Rajkot
Dhrangadhra,Gujarat,Surendranagar
Dhrol,Gujarat,Jamnagar
Dhubri,Assam,Dhubri
Dhuilya,West Bengal,Haora
Dhule,Maharashtra,Dhule
Dhulian,West Bengal,Murshidabad
Dhupguri,West Bengal,Jalpaiguri
Dhuri,Punjab,Sangrur
Dhusaripara,West Bengal,Murshidabad
Diamond Harbour,West Bengal,South Twentyfour Parganas
Dibai,Uttar Pradesh,Bulandshahr
Dibiyapur,Uttar Pradesh,Auraiya
Dibrugarh,Assam,Dibrugarh
Didihat,Uttaranchal,Pithoragarh
Didwana,Rajasthan,Nagaur
Digapahandi,Orissa,Ganjam
Digboi,Assam,Tinsukia
Digboi Oil Town,Assam,Tinsukia
Digdoh,Maharashtra,Nagpur
Dighawani,Madhya Pradesh,Chhindwara
Dighwara,Bihar,Saran
Dignala,West Bengal,Barddhaman
Digras,Maharashtra,Yavatmal
Digvijaygram,Gujarat,Jamnagar
Diken,Madhya Pradesh,Neemuch
Dildarnagar Fatehpur Bazar,Uttar Pradesh,Ghazipur
Dimapur,Nagaland,Dimapur
Dimaruguri,Assam,Nagaon
Dina Nagar,Punjab,Gurdaspur
Dinapur Cantt.,Bihar,Patna
Dinapur Nizamat,Bihar,Patna
Dindigul,Tamil Nadu,Dindigul
Dindori,Madhya Pradesh,Dindori
Dineshpur,Uttaranchal,Udham Singh Nagar
Dinhata,West Bengal,Koch Bihar
Diphu,Assam,Karbi Anglong
Dipka,Chhattisgarh,Korba
Dirba,Punjab,Sangrur
Diu,Daman & Diu *,Diu
Doboka,Assam,Nagaon
Dod Ballapur,Karnataka,Bangalore Rural
Doda,Jammu & Kashmir,Doda
Dogadda,Uttaranchal,Garhwal
Doghat,Uttar Pradesh,Baghpat
Dohad,Gujarat,Dohad
Dohrighat,Uttar Pradesh,Mau
Doiwala,Uttaranchal,Dehradun
Dokmoka,Assam,Karbi Anglong
Dola,Madhya Pradesh,Shahdol
Domjur,West Bengal,Haora
Dommara Nandyal,Andhra Pradesh,Cuddapah
Dondaicha-Warwade,Maharashtra,Dhule
Dongar Parasia,Madhya Pradesh,Chhindwara
Dongargaon,Chhattisgarh,Rajnandgaon
Dongragarh,Chhattisgarh,Rajnandgaon
Donimalai Township,Karnataka,Bellary
